element,f_bus,t_bus
3e3c0638-0ccc-419c-8cc8-566864a6dda3,e7610181-698f-45fb-976a-f53b76ef6c47,37a285ad-9226-459b-9c66-cedd5dbba63e
36ba6b08-81f1-49a4-95b7-324de840482e,36083025-d959-4245-9a94-896ebf5de4bb,17c34225-9db3-4ef1-ac1a-dc331246a844
48ea4cb4-3eb5-4625-bd64-6ba6e44e7b58,92040618-09ce-4bd0-b51a-bd920d63e070,022167a8-b0cc-483e-a60f-17cbf861752d
236495da-821f-4b1f-8be9-2cfed0ae1e6e,82f7ef68-e1d7-4250-bf27-1479dc8cd6cb,22349bf6-4a56-423f-abb0-6ebddaa07e96
c7fda8b1-5169-47bd-b916-33f5b2b89f20,c6b17c3b-71b8-4110-acc5-824b558d478f,33b273e8-83a3-4f81-bf87-4bfce08723b7
de659bf9-8955-44c1-b050-002f8816dc40,4b3dfc29-254b-4271-a19b-38572ce628bd,65e26d4b-922d-4672-b0a4-e1cfb83657e6
55889f1c-bdc3-4ce4-8ee2-6aff63206ba8,4f26757a-b3ac-4d7c-bbb9-e1581f06f5a8,fec3ac29-6ccb-4112-938a-4512060ee554
ab751639-ffc5-4309-82c2-88ee2a382e0d,4f26757a-b3ac-4d7c-bbb9-e1581f06f5a8,afa84c0b-0058-49a9-b258-738997c5b4bf
505b39da-6359-4a4c-bcc3-1cd866a454cc,4f26757a-b3ac-4d7c-bbb9-e1581f06f5a8,dd50757e-8bcf-4a69-9472-eeda72f69d53
98ada5ab-77e6-4848-8014-1955be9b1538,8c39cc76-c6cc-4a07-bef4-e32be176d88a,68830fdd-42e2-4076-8cfd-c31e3d1b5d52
1caa44df-6c42-4beb-a29b-1df62e3bc56c,3a4b104d-8801-49f0-8a30-ea4485e0f452,0a9a2b82-5007-46b9-93ad-07310fbec9ea
6bf54c4f-197b-483a-8850-3e797d126893,73eb9ee5-1319-4df9-bac1-8c0b86d27a9e,858c3da6-f180-4bda-b5c9-7da5ccb0a192
0bfc8be0-0c39-40f4-808a-4bcc0fce5dda,6cac6fd9-ffec-4fbc-b934-3a75ab86a551,08828f3a-86e9-4ff1-a9d3-055761b59740
4ed4c921-6784-46b4-a9f8-642cbd817590,6cac6fd9-ffec-4fbc-b934-3a75ab86a551,98710cfa-b89f-48bd-9ab2-e590b736f247
5eb349f7-60ee-4e86-9614-2a0f556c8ef9,6cac6fd9-ffec-4fbc-b934-3a75ab86a551,4419d91c-693c-4719-8ecd-46748975d38d
c36308fd-b398-42bd-8e93-65bd01572677,183e7a40-b164-4e0e-a575-b0fc8257ab94,1be66bf7-120d-4b98-b08a-0c3468472db6
956131d5-d5f4-4ef3-b886-bb1005f098bd,183e7a40-b164-4e0e-a575-b0fc8257ab94,ce592960-8e73-4376-a52b-8baa49007282
c726b65e-88b3-47ab-bf87-15cab3406210,45d5e0d0-8273-48cd-9d52-0629c4f31601,910aa699-7091-4e97-9725-f09960b535b6
2af911c4-e618-46b7-8b3a-f12464cd6597,b72a08bd-f3ff-47ef-845a-51fe07863f43,4b6c7453-717a-4566-bd86-a4679121f166
6cf32706-fea4-4558-931e-42323ba675df,cdcfd5b3-72c8-4066-802a-e513df5543fe,c5f0ea3a-b409-4133-b234-2982d97bccd1
e57fb9e6-ef0c-48b5-9268-bf3df7468710,02701724-420d-4d9f-a87f-ec7330c39036,0239e317-2dfd-4b85-a32b-421a2201a3b4
b6632f21-1e72-4632-b35a-25d3c3d62980,4b3dfc29-254b-4271-a19b-38572ce628bd,2c395948-95d4-4592-9a97-209c4caba547
a2b44cb7-a546-488c-a5b4-c556c41b57b4,4b3dfc29-254b-4271-a19b-38572ce628bd,196a7144-b923-42e0-88bc-9cc94f34fda6
d93ef533-92d6-4942-8354-85aa885af29e,9eb75c2f-a998-4fa6-8070-68e656988f15,52acfc35-7641-4265-9963-3056c2b4cb80
3dc288b5-90e5-48e2-b59d-2ea86595f016,9eb75c2f-a998-4fa6-8070-68e656988f15,542a46a4-abf6-4c0c-a49f-38cded29cda1
524ba05c-93e3-4dc2-ad92-15cce70e08e7,033943ee-9f6b-4ffd-8cf5-a4135594b039,7a61aa88-809d-4e03-8d5d-a24d1833d428
fac06de4-53ab-4d8d-bf4a-3b3e9e62c8e1,eb70817d-68f6-408c-b3a5-9c3f5f57028a,9740dd46-600f-446b-9557-77fb45f1b54e
1b3a3ebb-264d-4c2d-be0f-8ea6733190ed,2f73e808-97fa-48bc-a87a-78a60db0115c,de2f3c92-beea-4bed-9f73-df419fe93861
446d8700-5deb-47b4-8db7-3c1aa1d91d23,185b0de4-f7a1-4e38-96ee-01aac94d9e9a,8617bdc5-855b-48ff-93df-a2353bade794
9c1ab851-8e3d-4f1e-b63f-f98de5a50490,185b0de4-f7a1-4e38-96ee-01aac94d9e9a,f6afbb40-24c4-427e-b5cd-7ac2bf679470
fd928c03-1c6a-401f-9118-08bf8cf49029,5bd579dd-ba14-4420-9d77-6857e0ba1e5e,54f294f3-a797-4357-ab01-d7172da78429
b8353d95-8507-41d0-8d5d-c86175098abe,5bd579dd-ba14-4420-9d77-6857e0ba1e5e,9797b9c7-d4b5-408c-baad-0d99b127c4b1
81a2b919-f5b8-463f-8f6f-496d201d49f7,3f2b5c93-44e7-42d9-8628-53c5873c2386,26f82a75-1c88-436b-a501-6e4f26dfb4ba
b3e1c963-b05b-4e26-ad34-62d1d2463771,3f2b5c93-44e7-42d9-8628-53c5873c2386,aac1369b-333c-41e3-88d1-271b99e09f15
5a2145c1-2c29-46c6-8ec0-321d6a2e862c,3f2b5c93-44e7-42d9-8628-53c5873c2386,fe21d8fb-c8e9-40c7-bf0d-e5a7c03eed2e
92b4e3dd-5dff-4af3-8ce9-67ce78782aea,821ed070-cc6d-42eb-aa29-f77e79a55f11,f16805d7-f7bb-4983-9489-6e1546626fa4
5b410dd4-891f-4d6e-b1e6-4682939c8c01,d2a8a310-0ba4-4030-90a5-02c5dcac5c78,8e7052c2-69f1-4912-8ff4-ceffe7e7ad53
77a519df-d050-447e-a3b8-d90feee9de4a,36083025-d959-4245-9a94-896ebf5de4bb,395a6ada-2b04-41ce-8ae9-ed0b0b6968ee
1abc69cd-1d80-45d1-b7a5-39be32c21f1b,36083025-d959-4245-9a94-896ebf5de4bb,09c0373e-e1ec-4c41-b705-0fbc5800dc8a
1b82bda3-002f-4014-b300-a31dbfc36318,36083025-d959-4245-9a94-896ebf5de4bb,2e2075da-bd30-493b-8d4d-e79bebe3de6c
dd10e0ae-8828-4d97-9ba7-d88809f8e873,36083025-d959-4245-9a94-896ebf5de4bb,fde50770-05d5-4a91-b711-bc6e90c25f75
c4aea9de-e1f1-4af2-ab21-728298faab2a,36083025-d959-4245-9a94-896ebf5de4bb,5ec4b2b5-c733-4c63-8220-ec92fd338010
f6325410-963c-40b8-8008-e33fcdc005db,36083025-d959-4245-9a94-896ebf5de4bb,af053f2d-c8ac-443f-aaac-fba5d0e3035a
24df0112-2a4b-45ff-a6f1-fc3bfe967c6e,36083025-d959-4245-9a94-896ebf5de4bb,7ba42470-d676-4d8f-8213-c56eaee884a4
7657d571-d6f4-475a-98c7-739d58323874,cb1f6b58-e2e1-4cdd-a7cc-2cbb3d8be4a8,7d8629a4-f9e9-4ed0-8729-f1e5b34b7fca
e0891040-28bf-4bfb-b019-44b6f3c424d7,52abf46a-bc0a-4465-a3cd-05c24ee46920,a16d5742-7604-4a1b-97fa-6e5f22500c40
6f746faa-2f18-4892-8f1c-7d05d8e4d08e,92040618-09ce-4bd0-b51a-bd920d63e070,088f2802-3765-4f2a-ad27-4003941acd17
db1aa68b-6d10-4eb6-b497-ccf32afe59ba,62780505-bc31-4869-b979-3f37b08ff55a,4fae84be-0ad2-4773-8805-aca047d7e4d6
8634017c-5f52-4480-bfd4-2423a058f51c,afb04dc5-0da7-42fd-a62e-83a4d2fa7e63,e116d3dd-2017-4297-9f35-54f5b1180f05
a2b52ab4-829d-4b06-afd5-8377eb5196f5,e116d3dd-2017-4297-9f35-54f5b1180f05,6cf228c1-90c8-4b96-b88f-22d0a7421c5b
cabcefe9-4398-4648-874c-cd13f25c965b,e634dd91-a8bb-4989-b9e9-12cf8e744bef,af1a1e63-2c0e-45ea-bdab-bddcbd8ec9e8
b381fb5a-14ac-44f4-b797-ad72641fd4b1,22c60bb3-0edc-48f0-943b-cec96994246e,084f3feb-2196-42b3-88e0-81e1d6b2b44e
bb31a25a-fa03-4d84-8ded-44f37bc8319e,a050e039-2201-4c7b-8b16-4d1c1ec07207,992ef0b9-1c36-4967-a860-89660d4ed456
0c97620b-a211-47a3-a2af-f0e675a22eb7,c0f32266-91af-4e82-ac9c-21ca1ae280e4,16fec645-91e5-4335-a829-7423ebc6b45d
071c4847-101c-411d-9259-4081d6bf96fc,7c5bd04e-1145-4615-b00e-60c5f2c4751b,2df058a9-45aa-44b3-8cad-3fe5e91088a6
