;sourceId;referenceTime;elementId;value;unit;timeOffset
85;SN12680:0;2015-03-27 00:00:00+00:00;mean(air_temperature P1D);0,9;degC;PT0H
86;SN12680:0;2015-03-28 00:00:00+00:00;mean(air_temperature P1D);0,0;degC;PT0H
87;SN12680:0;2015-03-29 00:00:00+00:00;mean(air_temperature P1D);1,5;degC;PT0H
88;SN12680:0;2015-03-30 00:00:00+00:00;mean(air_temperature P1D);1,6;degC;PT0H
89;SN12680:0;2015-03-31 00:00:00+00:00;mean(air_temperature P1D);0,0;degC;PT0H
90;SN12680:0;2015-04-01 00:00:00+00:00;mean(air_temperature P1D);0,6;degC;PT0H
91;SN12680:0;2015-04-02 00:00:00+00:00;mean(air_temperature P1D);2,0;degC;PT0H
92;SN12680:0;2015-04-03 00:00:00+00:00;mean(air_temperature P1D);1,7;degC;PT0H
93;SN12680:0;2015-04-04 00:00:00+00:00;mean(air_temperature P1D);0,3;degC;PT0H
94;SN12680:0;2015-04-05 00:00:00+00:00;mean(air_temperature P1D);-0,6;degC;PT0H
95;SN12680:0;2015-04-06 00:00:00+00:00;mean(air_temperature P1D);3,8;degC;PT0H
96;SN12680:0;2015-04-07 00:00:00+00:00;mean(air_temperature P1D);7,9;degC;PT0H
97;SN12680:0;2015-04-08 00:00:00+00:00;mean(air_temperature P1D);5,9;degC;PT0H
98;SN12680:0;2015-04-09 00:00:00+00:00;mean(air_temperature P1D);6,5;degC;PT0H
99;SN12680:0;2015-04-10 00:00:00+00:00;mean(air_temperature P1D);8,8;degC;PT0H
100;SN12680:0;2015-04-11 00:00:00+00:00;mean(air_temperature P1D);3,7;degC;PT0H
101;SN12680:0;2015-04-12 00:00:00+00:00;mean(air_temperature P1D);5,5;degC;PT0H
102;SN12680:0;2015-04-13 00:00:00+00:00;mean(air_temperature P1D);2,8;degC;PT0H
103;SN12680:0;2015-04-14 00:00:00+00:00;mean(air_temperature P1D);2,6;degC;PT0H
104;SN12680:0;2015-04-15 00:00:00+00:00;mean(air_temperature P1D);5,4;degC;PT0H
105;SN12680:0;2015-04-16 00:00:00+00:00;mean(air_temperature P1D);4,4;degC;PT0H
106;SN12680:0;2015-04-17 00:00:00+00:00;mean(air_temperature P1D);6,7;degC;PT0H
107;SN12680:0;2015-04-18 00:00:00+00:00;mean(air_temperature P1D);5,5;degC;PT0H
108;SN12680:0;2015-04-19 00:00:00+00:00;mean(air_temperature P1D);10,2;degC;PT0H
109;SN12680:0;2015-04-20 00:00:00+00:00;mean(air_temperature P1D);12,5;degC;PT0H
110;SN12680:0;2015-04-21 00:00:00+00:00;mean(air_temperature P1D);9,1;degC;PT0H
111;SN12680:0;2015-04-22 00:00:00+00:00;mean(air_temperature P1D);9,5;degC;PT0H
112;SN12680:0;2015-04-23 00:00:00+00:00;mean(air_temperature P1D);6,6;degC;PT0H
113;SN12680:0;2015-04-24 00:00:00+00:00;mean(air_temperature P1D);4,3;degC;PT0H
114;SN12680:0;2015-04-25 00:00:00+00:00;mean(air_temperature P1D);5,3;degC;PT0H
115;SN12680:0;2015-04-26 00:00:00+00:00;mean(air_temperature P1D);5,6;degC;PT0H
116;SN12680:0;2015-04-27 00:00:00+00:00;mean(air_temperature P1D);4,2;degC;PT0H
117;SN12680:0;2015-04-28 00:00:00+00:00;mean(air_temperature P1D);4,4;degC;PT0H
118;SN12680:0;2015-04-29 00:00:00+00:00;mean(air_temperature P1D);3,7;degC;PT0H
119;SN12680:0;2015-04-30 00:00:00+00:00;mean(air_temperature P1D);2,6;degC;PT0H
120;SN12680:0;2015-05-01 00:00:00+00:00;mean(air_temperature P1D);4,1;degC;PT0H
121;SN12680:0;2015-05-02 00:00:00+00:00;mean(air_temperature P1D);4,7;degC;PT0H
122;SN12680:0;2015-05-03 00:00:00+00:00;mean(air_temperature P1D);4,7;degC;PT0H
123;SN12680:0;2015-05-04 00:00:00+00:00;mean(air_temperature P1D);3,9;degC;PT0H
124;SN12680:0;2015-05-05 00:00:00+00:00;mean(air_temperature P1D);5,6;degC;PT0H
125;SN12680:0;2015-05-06 00:00:00+00:00;mean(air_temperature P1D);10,9;degC;PT0H
126;SN12680:0;2015-05-07 00:00:00+00:00;mean(air_temperature P1D);7,4;degC;PT0H
127;SN12680:0;2015-05-08 00:00:00+00:00;mean(air_temperature P1D);6,7;degC;PT0H
128;SN12680:0;2015-05-09 00:00:00+00:00;mean(air_temperature P1D);6,7;degC;PT0H
129;SN12680:0;2015-05-10 00:00:00+00:00;mean(air_temperature P1D);7,8;degC;PT0H
130;SN12680:0;2015-05-11 00:00:00+00:00;mean(air_temperature P1D);6,4;degC;PT0H
131;SN12680:0;2015-05-12 00:00:00+00:00;mean(air_temperature P1D);8,7;degC;PT0H
132;SN12680:0;2015-05-13 00:00:00+00:00;mean(air_temperature P1D);8,6;degC;PT0H
133;SN12680:0;2015-05-14 00:00:00+00:00;mean(air_temperature P1D);7,1;degC;PT0H
134;SN12680:0;2015-05-15 00:00:00+00:00;mean(air_temperature P1D);8,1;degC;PT0H
135;SN12680:0;2015-05-16 00:00:00+00:00;mean(air_temperature P1D);5,1;degC;PT0H
136;SN12680:0;2015-05-17 00:00:00+00:00;mean(air_temperature P1D);4,8;degC;PT0H
137;SN12680:0;2015-05-18 00:00:00+00:00;mean(air_temperature P1D);7,2;degC;PT0H
138;SN12680:0;2015-05-19 00:00:00+00:00;mean(air_temperature P1D);5,4;degC;PT0H
139;SN12680:0;2015-05-20 00:00:00+00:00;mean(air_temperature P1D);7,6;degC;PT0H
140;SN12680:0;2015-05-21 00:00:00+00:00;mean(air_temperature P1D);9,2;degC;PT0H
141;SN12680:0;2015-05-22 00:00:00+00:00;mean(air_temperature P1D);9,3;degC;PT0H
142;SN12680:0;2015-05-23 00:00:00+00:00;mean(air_temperature P1D);8,9;degC;PT0H
143;SN12680:0;2015-05-24 00:00:00+00:00;mean(air_temperature P1D);7,0;degC;PT0H
144;SN12680:0;2015-05-25 00:00:00+00:00;mean(air_temperature P1D);9,0;degC;PT0H
145;SN12680:0;2015-05-26 00:00:00+00:00;mean(air_temperature P1D);9,5;degC;PT0H
146;SN12680:0;2015-05-27 00:00:00+00:00;mean(air_temperature P1D);9,3;degC;PT0H
147;SN12680:0;2015-05-28 00:00:00+00:00;mean(air_temperature P1D);6,2;degC;PT0H
148;SN12680:0;2015-05-29 00:00:00+00:00;mean(air_temperature P1D);8,9;degC;PT0H
149;SN12680:0;2015-05-30 00:00:00+00:00;mean(air_temperature P1D);5,7;degC;PT0H
150;SN12680:0;2015-05-31 00:00:00+00:00;mean(air_temperature P1D);8,6;degC;PT0H
151;SN12680:0;2015-06-01 00:00:00+00:00;mean(air_temperature P1D);8,6;degC;PT0H
152;SN12680:0;2015-06-02 00:00:00+00:00;mean(air_temperature P1D);6,7;degC;PT0H
153;SN12680:0;2015-06-03 00:00:00+00:00;mean(air_temperature P1D);10,4;degC;PT0H
154;SN12680:0;2015-06-04 00:00:00+00:00;mean(air_temperature P1D);11,1;degC;PT0H
155;SN12680:0;2015-06-05 00:00:00+00:00;mean(air_temperature P1D);12,0;degC;PT0H
156;SN12680:0;2015-06-06 00:00:00+00:00;mean(air_temperature P1D);10,8;degC;PT0H
157;SN12680:0;2015-06-07 00:00:00+00:00;mean(air_temperature P1D);11,8;degC;PT0H
158;SN12680:0;2015-06-08 00:00:00+00:00;mean(air_temperature P1D);11,3;degC;PT0H
159;SN12680:0;2015-06-09 00:00:00+00:00;mean(air_temperature P1D);10,7;degC;PT0H
160;SN12680:0;2015-06-10 00:00:00+00:00;mean(air_temperature P1D);12,6;degC;PT0H
161;SN12680:0;2015-06-11 00:00:00+00:00;mean(air_temperature P1D);14,5;degC;PT0H
162;SN12680:0;2015-06-12 00:00:00+00:00;mean(air_temperature P1D);13,9;degC;PT0H
163;SN12680:0;2015-06-13 00:00:00+00:00;mean(air_temperature P1D);12,8;degC;PT0H
164;SN12680:0;2015-06-14 00:00:00+00:00;mean(air_temperature P1D);10,4;degC;PT0H
165;SN12680:0;2015-06-15 00:00:00+00:00;mean(air_temperature P1D);10,5;degC;PT0H
166;SN12680:0;2015-06-16 00:00:00+00:00;mean(air_temperature P1D);11,8;degC;PT0H
167;SN12680:0;2015-06-17 00:00:00+00:00;mean(air_temperature P1D);8,0;degC;PT0H
168;SN12680:0;2015-06-18 00:00:00+00:00;mean(air_temperature P1D);10,7;degC;PT0H
169;SN12680:0;2015-06-19 00:00:00+00:00;mean(air_temperature P1D);13,4;degC;PT0H
170;SN12680:0;2015-06-20 00:00:00+00:00;mean(air_temperature P1D);15,9;degC;PT0H
171;SN12680:0;2015-06-21 00:00:00+00:00;mean(air_temperature P1D);15,8;degC;PT0H
172;SN12680:0;2015-06-22 00:00:00+00:00;mean(air_temperature P1D);13,6;degC;PT0H
173;SN12680:0;2015-06-23 00:00:00+00:00;mean(air_temperature P1D);13,4;degC;PT0H
174;SN12680:0;2015-06-24 00:00:00+00:00;mean(air_temperature P1D);12,7;degC;PT0H
175;SN12680:0;2015-06-25 00:00:00+00:00;mean(air_temperature P1D);11,0;degC;PT0H
