f_bus;t_bus;br_r;br_x;br_b;rate_A;rate_B;rate_C;tap;shift;br_status
59;60;0.006187716;0.001351451;0.0011366662161231495;6.477870019999999;0;0;0;0;1
60;61;0.000616922;0.000569006;0.00050691070508976;14.09889357;0;0;0;0;1
61;62;3.55e-07;3.55e-07;0.0;38.06701265;0;0;0;0;1
49;50;0.006017026;0.001314171;0.001105310937951032;6.477870019999999;0;0;0;0;1
50;51;3.71e-07;3.71e-07;0.0;38.06701265;0;0;0;0;1
59;117;3.55e-07;3.55e-07;0.0;38.06701265;0;0;0;0;1
48;63;0.021523491;0.006366164;0.00014728885043413598;4.38208854;0;0;0;0;1
63;65;0.01114168;0.005135311;0.00011855691015196044;8.95470268;0;0;0;0;1
65;66;3.91e-07;3.91e-07;0.0;38.06701265;0;0;0;0;1
63;64;3.17e-05;1.98e-05;1.4580750462853774e-05;11.24100974;0;0;0;0;1
71;106;0.001124919;0.000245692;0.00020664449098423991;6.477870019999999;0;0;0;0;1
72;107;0.003319835;0.002084069;5.136203751058378e-05;10.936168799999999;0;0;0;0;1
107;108;3.15e-05;1.97e-05;1.448875834636889e-05;11.24100974;0;0;0;0;1
76;102;4.04e-07;4.04e-07;0.0;38.06701265;0;0;0;0;1
102;103;0.000601656;0.000225621;0.00027673804417914033;9.14522826;0;0;0;0;1
103;104;0.001108432;0.000415662;0.0005098350282978527;9.14522826;0;0;0;0;1
104;105;4.68e-07;4.68e-07;0.0;38.06701265;0;0;0;0;1
82;100;0.003891899;0.000850025;0.0007149310197597091;6.477870019999999;0;0;0;0;1
100;101;5.17e-07;5.17e-07;0.0;38.06701265;0;0;0;0;1
83;84;4.56e-07;4.56e-07;0.0;38.06701265;0;0;0;0;1
85;97;0.008752581;0.002374613;0.0012836940467179487;3.2389350099999996;0;0;0;0;1
97;98;0.000548522;0.000342826;0.00025229849859260175;11.24100974;0;0;0;0;1
98;99;4.76e-07;4.76e-07;0.0;38.06701265;0;0;0;0;1
86;89;0.000841252;0.000525783;0.0003869427598856991;11.24100974;0;0;0;0;1
89;90;0.000436025;0.000272516;0.000200554312951603;11.24100974;0;0;0;0;1
86;87;0.002969154;0.001863925;4.593655983586529e-05;10.936168799999999;0;0;0;0;1
87;88;8.15e-05;5.09e-05;3.748678746758936e-05;11.24100974;0;0;0;0;1
86;91;0.000490918;0.000706922;0.000867083246656817;17.71887976;0;0;0;0;1
9;15;4.84e-07;4.84e-07;0.0;38.06701265;0;0;0;0;1
