f_bus;t_bus;lambda_perm;lambda_temp;r_perm;r_temp;sectioning_time
119;121;0.007494003334431323;0.0007117209870688967;5.0;0.02;0.5
116;124;3.07557793848844e-06;2.9209399415812003e-07;5.0;0.02;0.5
119;120;0.0054262561921823976;0.0005153427668553116;5.0;0.02;0.5
47;49;0.006509951014280177;0.0006182635041495141;5.0;0.02;0.5
49;52;4.3317999133639995e-06;4.1139999177200003e-07;5.0;0.02;0.5
52;53;0.009001680812364089;0.0008549082335764779;5.0;0.02;0.5
53;54;0.0056380213683199995;0.00053545454336;5.0;0.02;0.5
54;55;0.00470845174272;0.0004471713945600001;5.0;0.02;0.5
55;56;3.91594712168034e-06;3.7190559256182e-07;5.0;0.02;0.5
56;57;0.00450393533568;0.00042774804864000005;5.0;0.02;0.5
57;58;0.0058278997568;0.0005534876864000001;5.0;0.02;0.5
58;59;0.0007801659981037157;7.409397747353725e-05;5.0;0.02;0.5
59;60;0.008363166707590484;0.0007942672292125042;5.0;0.02;0.5
60;61;0.002594546329708738;0.00024640942796116505;5.0;0.02;0.5
61;62;3.07557793848844e-06;2.9209399415812003e-07;5.0;0.02;0.5
49;50;0.008132466247950994;0.00077235712969367;5.0;0.02;0.5
50;51;3.21419553571573e-06;3.0525879389479e-07;5.0;0.02;0.5
59;117;3.07557793848844e-06;2.9209399415812003e-07;5.0;0.02;0.5
48;63;0.03669650260939579;0.040116579678785326;3.0;0.02;0.5
63;65;0.02956977343439888;0.03232564652526225;3.0;0.02;0.5
65;66;3.3874675322502895e-06;3.2171479356567e-07;5.0;0.02;0.5
63;64;8.582378937739496e-05;8.15086267830008e-06;5.0;0.02;0.5
71;106;0.0015204132073184968;0.0001443967850525947;5.0;0.02;0.5
72;107;0.012398437867899643;0.013553959785059055;3.0;0.02;0.5
107;108;8.528231436555053e-05;8.099437677175191e-06;5.0;0.02;0.5
76;102;3.5000943299966798e-06;3.3241119335164e-07;5.0;0.02;0.5
102;103;0.0016289084486323718;0.00015470080238408002;5.0;0.02;0.5
103;104;0.0030009411516455863;0.00028500558423449706;5.0;0.02;0.5
104;105;4.05456471890763e-06;3.8507039229849006e-07;5.0;0.02;0.5
82;100;0.00526019619292558;0.0004995717054733791;5.0;0.02;0.5
100;101;4.4790811104176596e-06;4.2538759149218e-07;5.0;0.02;0.5
83;84;3.95060152098761e-06;3.7519679249603005e-07;5.0;0.02;0.5
85;97;0.006593814116010033;0.0006262281562691094;5.0;0.02;0.5
97;98;0.0014850547822355732;0.00014103872233522206;5.0;0.02;0.5
98;99;4.1238735175221695e-06;3.9165279216691e-07;5.0;0.02;0.5
86;89;0.002277584683322163;0.00021630692523171387;5.0;0.02;0.5
89;90;0.0011804832101980699;0.00011211293057747033;5.0;0.02;0.5
86;87;0.011088765372142198;0.012122227132266282;3.0;0.02;0.5
87;88;0.00022065106732674036;2.0955687958405512e-05;5.0;0.02;0.5
86;91;0.00340249374784;0.00032314186432000005;5.0;0.02;0.5
9;15;4.19318231613492e-06;3.9823519203516005e-07;5.0;0.02;0.5
