ID;type;Pd;Qd;Gs;Bs;bus_area;Vm;Va;base_kV;zone;Vmax;Vmin
78;1;0.0;0.0;0;0;0;0.9542578641547713;-0.887627534921393;22;0;1.06;0.94
79;1;0.0;0.0;0;0;0;0.9537326409363684;-0.8917901530284903;22;0;1.06;0.94
80;1;0.021937664;0.007210252;0;0;0;0.9537299471297827;-0.8918430135566936;22;0;1.06;0.94
81;1;0.0;0.0;0;0;0;0.9537265164559544;-0.8919106942273356;22;0;1.06;0.94
82;1;0.0;0.0;0;0;0;0.9536585870234058;-0.8932437478137778;22;0;1.06;0.94
83;1;0.0;0.0;0;0;0;0.95334670579475;-0.8996404241690333;22;0;1.06;0.94
84;1;0.026927092;0.008850127;0;0;0;0.9533467040834721;-0.899640476134073;22;0;1.06;0.94
85;1;0.0;0.0;0;0;0;0.953114076319118;-0.9044675989985332;22;0;1.06;0.94
86;1;0.0;0.0;0;0;0;0.9529195376038307;-0.9083296400235682;22;0;1.06;0.94
87;1;0.0;0.0;0;0;0;0.9529196449823383;-0.9083399246402506;22;0;1.06;0.94
88;1;0.0;0.0;0;0;0;0.9529196458914606;-0.9083400121645141;22;0;1.06;0.94
89;1;0.0;0.0;0;0;0;0.9529150758826195;-0.9084174987167004;22;0;1.06;0.94
90;1;0.043781881;0.014389791;0;0;0;0.9529126870695199;-0.9084556981042352;22;0;1.06;0.94
91;1;0.153539557;0.050463846;0;0;0;0.9529081758799196;-0.9088703863042688;22;0;1.06;0.94
92;1;0.073773438;0.024247116;0;0;0;0.9529195230061253;-0.908330179574104;22;0;1.06;0.94
93;1;0.0;0.0;0;0;0;0.9529195132643788;-0.9083305680757666;22;0;1.06;0.94
94;1;0.0;0.0;0;0;0;0.9528692842598238;-0.9099972100931123;22;0;1.06;0.94
95;1;0.0;0.0;0;0;0;0.9528622651724077;-0.9100286561650195;22;0;1.06;0.94
96;1;0.183788623;0.060405807;0;0;0;0.952788207990482;-0.9096369854333677;22;0;1.06;0.94
97;1;0.0;0.0;0;0;0;0.9530338843259318;-0.9046556463437245;22;0;1.06;0.94
98;1;0.0;0.0;0;0;0;0.9530282231876002;-0.9047438872409429;22;0;1.06;0.94
99;1;0.082191692;0.027013943;0;0;0;0.9530282177332093;-0.9047440529255079;22;0;1.06;0.94
100;1;0.0;0.0;0;0;0;0.9535774998663941;-0.8928204774999146;22;0;1.06;0.94
101;1;0.186032156;0.061143189;0;0;0;0.953577486465317;-0.8928208843414401;22;0;1.06;0.94
102;1;0.0;0.0;0;0;0;0.9542579176909333;-0.8876252096941397;22;0;1.06;0.94
103;1;0.29551181;0.097125867;0;0;0;0.9542161372162242;-0.887751366894913;22;0;1.06;0.94
104;1;0.0;0.0;0;0;0;0.9541775669444856;-0.8878633303750573;22;0;1.06;0.94
105;1;0.296369037;0.097407611;0;0;0;0.954177547630735;-0.8878639163499181;22;0;1.06;0.94
106;1;0.202089304;0.066420691;0;0;0;0.955571170930874;-0.8694806809801634;22;0;1.06;0.94
107;1;0.0;0.0;0;0;0;0.954788078296081;-0.8842452192331983;22;0;1.06;0.94
108;1;0.111655223;0.036697722;0;0;0;0.9547876343456608;-0.884251791574587;22;0;1.06;0.94
109;1;0.046128009;0.015160893;0;0;0;0.9692147557280616;-0.6239341353826934;22;0;1.06;0.94
